#Frame       Nb108bp2        Trop2
       1       1.0907       2.4326
       2       1.1221       2.3596
       3       1.2394       2.6067
       4       1.3075       2.4812
       5       1.1082       2.8366
       6       1.1302       2.7879
       7       1.4954       2.7429
       8       1.5369       2.6300
       9       1.4976       3.0631
      10       1.6031       2.7060
      11       1.5749       2.6392
      12       1.6646       2.4233
      13       1.5956       2.8611
      14       1.4778       2.9813
      15       1.5940       2.9130
      16       1.5248       2.5997
      17       1.5921       2.7179
      18       1.6358       3.0161
      19       1.4730       2.8384
      20       1.5775       2.3588
      21       1.5587       2.7570
      22       1.6313       2.5528
      23       1.6226       2.6727
      24       1.5383       2.7760
      25       1.5540       2.5935
      26       1.6174       2.7795
      27       1.6374       2.5754
      28       1.6432       2.6814
      29       1.6298       2.5028
      30       1.6524       2.6023
      31       1.7512       2.7446
      32       1.6535       2.8819
      33       1.6562       2.4411
      34       1.8058       2.4064
      35       1.7448       2.6538
      36       1.7176       2.3727
      37       1.6507       2.4781
      38       1.6711       2.3791
      39       1.5960       2.2412
      40       1.7011       2.6140
      41       1.7723       2.4221
      42       1.8008       2.6485
      43       1.7788       2.6289
      44       1.7786       2.9221
      45       1.6189       2.9079
      46       1.6224       3.1144
      47       1.7417       3.1179
      48       1.7265       2.8984
      49       1.6801       3.0662
      50       1.6794       2.9799
      51       1.6607       2.7835
      52       1.6876       2.9718
      53       1.6950       3.0069
      54       1.6367       3.0811
      55       1.6639       3.2566
      56       1.6232       3.1790
      57       1.6515       3.1122
      58       1.6003       3.0316
      59       1.6889       2.9424
      60       1.6774       3.1071
      61       1.6760       2.8236
      62       1.6160       2.8581
      63       1.7183       3.0927
      64       1.6969       2.8975
      65       1.6078       2.9096
      66       1.6162       3.1711
      67       1.6388       3.1519
      68       1.6364       2.9595
      69       1.7887       3.1979
      70       1.6719       3.0948
      71       1.6067       3.2124
      72       1.7991       2.8977
      73       1.6184       2.9703
      74       1.5772       3.0160
      75       1.7799       3.0857
      76       1.6741       3.0357
      77       1.6476       3.0152
      78       1.5495       3.0772
      79       1.7146       3.1254
      80       1.6734       3.3114
      81       1.6797       3.1446
      82       1.7083       3.0453
      83       1.7233       3.0620
      84       1.7364       3.0650
      85       1.6362       3.0572
      86       1.5971       3.0387
      87       1.6677       3.2655
      88       1.7282       3.0534
      89       1.6302       3.1259
      90       1.8246       3.0484
      91       1.7126       2.9084
      92       1.6712       2.9456
      93       1.7549       2.8569
      94       1.6618       2.7461
      95       1.7396       2.8560
      96       1.7366       3.1911
      97       1.6996       2.8718
      98       1.6722       3.0035
      99       1.6786       2.8625
     100       1.6810       2.9685
     101       1.6783       2.7683
     102       1.6977       2.8524
     103       1.6386       2.7425
     104       1.6424       2.6723
     105       1.5944       2.8266
     106       1.5837       3.1499
     107       1.6728       2.8258
     108       1.6339       2.6771
     109       1.5569       2.9439
     110       1.6535       3.0627
     111       1.6043       2.8771
     112       1.6364       3.2175
     113       1.6507       3.2056
     114       1.7398       3.1103
     115       1.7472       3.2465
     116       1.7164       3.1679
     117       1.6233       3.2006
     118       1.6649       3.0776
     119       1.7708       3.1197
     120       1.7115       3.1640
     121       1.7193       3.2477
     122       1.6726       3.0304
     123       1.6691       2.8584
     124       1.6313       2.8960
     125       1.6985       2.9123
     126       1.6548       3.0372
     127       1.5994       3.2927
     128       1.6439       3.1959
     129       1.6456       3.0860
     130       1.6572       3.0723
     131       1.5360       2.9185
     132       1.6899       2.7348
     133       1.6560       2.8941
     134       1.6794       2.8088
     135       1.6476       2.8177
     136       1.6149       2.8689
     137       1.6206       2.8237
     138       1.6685       2.8978
     139       1.6714       2.9700
     140       1.7466       3.0075
     141       1.6968       2.9083
     142       1.6459       2.9616
     143       1.7586       2.9282
     144       1.7835       2.8674
     145       1.5505       2.8351
     146       1.6134       2.8519
     147       1.5572       2.8519
