#Frame        Nb65bp1        Trop2
       1       1.0477       2.4554
       2       1.0685       2.3519
       3       1.0508       2.0998
       4       1.1458       2.2167
       5       1.0573       2.1985
       6       1.0358       2.2459
       7       1.0541       2.1309
       8       0.9361       2.1984
       9       0.9852       2.1017
      10       1.0352       2.1175
      11       1.0532       2.2625
      12       1.0797       2.4621
      13       1.0803       2.3807
      14       1.1768       2.4947
      15       1.1491       2.5261
      16       1.0130       2.4788
      17       1.0440       2.2107
      18       1.0822       2.4731
      19       1.0569       2.4124
      20       1.1614       2.5853
      21       0.9507       2.4325
      22       1.0045       2.4046
      23       1.0169       2.2719
      24       0.9907       2.3468
      25       0.9333       2.7279
      26       0.9151       2.5491
      27       0.9783       2.8172
      28       1.0442       2.4915
      29       0.9876       2.7456
      30       0.9982       2.6968
      31       1.0407       2.6319
      32       0.9910       2.5259
      33       1.0302       2.4874
      34       1.0183       2.5275
      35       1.1366       2.6302
      36       1.0056       2.8151
      37       1.1053       2.9738
      38       1.0549       2.9629
      39       1.0318       2.8191
      40       0.9620       2.6748
      41       1.1942       2.5089
      42       1.1130       2.6260
      43       1.1318       2.7600
      44       1.0575       2.7318
      45       1.0607       2.8686
      46       1.0509       2.6244
      47       1.0758       2.7014
      48       1.1219       2.8089
      49       1.0467       2.7671
      50       1.0899       3.0600
      51       1.1045       2.8814
      52       1.1345       3.0958
      53       1.1727       2.9550
      54       1.1798       3.0183
      55       0.9780       2.9180
      56       1.1986       2.8064
      57       1.1030       2.8729
      58       1.1980       2.7794
      59       1.2310       2.7084
      60       1.1293       3.0525
      61       1.2744       3.2414
      62       1.0467       2.8075
      63       1.0370       3.0110
      64       0.9714       2.8175
      65       0.9595       2.6665
      66       0.9920       2.5265
      67       1.0157       2.8531
      68       1.1207       2.6389
      69       1.0535       3.1093
      70       1.0874       2.8129
      71       1.1548       2.9372
      72       1.0698       2.8077
      73       1.0701       2.8749
      74       1.0937       2.8345
      75       1.0370       2.8199
      76       1.0163       2.9329
      77       1.1738       2.9350
      78       1.0306       2.9258
      79       1.0003       2.9462
      80       1.0399       2.8107
      81       0.9420       2.7762
      82       0.9842       3.0058
      83       1.1169       2.9640
      84       1.1300       2.9320
      85       1.1857       2.7859
      86       1.0675       2.7471
      87       1.0970       2.8031
      88       1.1617       2.8033
      89       1.0811       2.8933
      90       1.0661       2.8103
      91       1.0948       2.7262
      92       1.1710       2.7446
      93       1.0468       2.6548
      94       1.1788       2.7871
      95       1.1696       2.8735
      96       1.0686       2.8538
      97       0.9672       2.6966
      98       1.0019       2.6345
      99       1.1379       2.8281
     100       1.1466       2.8634
     101       1.0591       2.7119
     102       1.0727       2.5517
     103       1.1109       2.5346
     104       1.0235       2.7048
     105       1.1236       2.4988
     106       1.0887       2.5353
     107       1.0246       2.4789
     108       1.0840       2.6012
     109       0.9352       2.5108
     110       0.9721       2.4701
     111       1.0732       2.7060
     112       1.0537       2.5004
     113       1.0964       2.4546
     114       1.0418       2.7749
     115       1.0035       2.7201
     116       1.0430       3.0709
     117       0.9771       2.9558
     118       1.0744       3.1655
     119       0.9562       3.0807
     120       0.9948       3.0205
     121       1.0407       3.1190
     122       1.0745       3.2815
     123       0.9824       3.4043
     124       1.0452       3.2628
     125       1.0883       3.4259
     126       1.0750       3.4709
     127       0.9683       3.4631
     128       0.9960       3.4813
     129       1.0600       3.4631
     130       1.0502       3.5409
     131       1.0344       3.6741
     132       1.0373       3.5829
     133       0.9744       3.6538
     134       1.0488       3.6500
     135       1.0681       3.7781
     136       1.0245       3.6645
     137       0.9987       3.5311
     138       1.0451       3.5446
     139       1.0204       3.5101
     140       1.0585       3.5887
     141       0.9905       3.6376
     142       1.0092       3.5426
     143       1.0959       3.5034
     144       1.1070       3.4343
     145       1.0213       3.3701
     146       0.9044       3.1996
     147       0.9837       3.6370
     148       1.0801       3.3518
     149       1.0001       3.1718
     150       1.0923       3.0460
     151       1.0427       3.3474
     152       1.0916       3.2800
     153       1.0431       3.2246
     154       0.9834       3.2614
     155       1.0886       3.0608
     156       1.0979       3.1766
     157       1.1488       3.1714
     158       1.0982       3.1463
     159       1.1032       3.0356
     160       1.1686       3.2144
     161       1.0925       3.2716
     162       1.1123       3.3435
     163       1.1957       3.3214
     164       1.0371       3.2673
     165       1.0886       3.4497
     166       1.0702       3.5345
     167       1.1327       3.4965
     168       1.1186       3.2826
     169       1.2397       3.5646
     170       1.1430       3.4775
     171       1.2764       3.1403
     172       1.0036       3.3142
     173       1.0552       3.3864
     174       1.0562       3.3507
     175       1.1230       3.3630
     176       1.1170       3.4107
     177       1.1194       3.3861
     178       1.0561       3.4453
     179       1.1486       3.4287
     180       1.1085       3.1385
     181       1.1363       3.3199
     182       1.1646       3.3923
     183       1.1027       3.3639
     184       1.0774       3.2648
     185       1.1198       3.0580
     186       1.1120       3.0794
     187       1.0396       2.9717
     188       1.0691       3.3601
     189       1.0486       3.4293
     190       1.0660       3.2980
     191       1.0739       3.3478
     192       1.1067       3.2647
     193       1.0804       3.1272
     194       1.0601       3.2030
     195       1.0903       3.3971
     196       1.0698       3.4562
     197       1.0503       3.4604
     198       1.0932       3.5958
     199       1.0506       3.6649
     200       1.0710       3.5731
     201       1.0131       3.5775
     202       1.2066       3.5685
     203       1.0298       3.2898
     204       0.9795       3.3462
     205       1.0227       3.2752
     206       1.0908       3.5476
     207       1.1107       3.4543
     208       1.2049       3.2762
     209       1.1536       3.3740
     210       1.1056       3.4482
     211       1.0412       3.3597
     212       1.1138       3.4986
     213       1.1032       3.3092
     214       1.1076       3.5090
     215       1.1305       3.4751
     216       1.1778       3.3189
     217       1.2207       3.5207
     218       1.1944       3.2476
     219       1.0673       3.1910
     220       1.1973       3.2090
     221       1.1217       3.3392
     222       1.1087       3.2414
     223       1.1720       3.3554
     224       1.1050       3.2457
     225       1.1161       3.2315
     226       1.0737       3.3306
     227       1.0224       3.3558
     228       1.0161       3.5168
     229       1.1728       3.6768
     230       1.1407       3.5073
     231       1.2540       3.3768
     232       1.2282       3.3756
     233       1.1608       3.4806
     234       1.1703       3.5403
     235       1.1885       3.6107
     236       1.1787       3.4299
     237       1.1844       3.3922
     238       1.1751       3.5047
     239       1.1669       3.3649
     240       1.1994       3.4191
     241       1.1129       3.4402
     242       1.2137       3.4719
     243       1.1783       3.3808
     244       1.1978       3.4115
     245       1.3026       3.4821
     246       1.1972       3.3941
     247       1.2910       3.4457
     248       1.3359       3.3692
     249       1.3766       3.3647
     250       1.1869       3.4524
     251       1.2860       3.5511
     252       1.3118       3.3838
     253       1.1550       3.1511
     254       1.3148       3.3799
     255       1.2141       3.4171
     256       1.2365       3.3765
     257       1.2194       3.5565
     258       1.2526       3.7234
     259       1.3033       3.4435
     260       1.3591       3.2607
     261       1.2617       3.5163
     262       1.3888       3.3977
     263       1.3095       3.4688
     264       1.3406       3.6202
     265       1.3887       3.6094
     266       1.2265       3.5840
     267       1.1984       3.5801
     268       1.3228       3.7439
     269       1.2546       3.5375
     270       1.2247       3.6281
     271       1.1880       3.6300
     272       1.3538       3.6159
     273       1.3749       3.3801
     274       1.2138       3.4244
     275       1.3120       3.5847
     276       1.3078       3.5578
     277       1.3382       3.6105
     278       1.1843       3.6929
     279       1.1634       3.5678
     280       1.2012       3.5581
     281       1.2136       3.6672
     282       1.1968       3.7119
     283       1.1754       3.6439
     284       1.2116       3.5962
     285       1.2227       3.6493
     286       1.1970       3.7336
