#Frame       Nb108bp1        Trop2
     245       1.1248       4.6057
     246       0.9183       4.3616
     247       0.9125       4.4798
     248       1.1501       4.4379
     249       1.2159       4.3923
     250       1.2713       4.3385
     251       1.3200       4.4174
     252       1.2361       4.3705
     253       1.3368       4.3163
     254       1.2950       4.0675
     255       1.3433       4.3730
     256       1.3109       4.4548
     257       1.3253       4.5485
     258       1.2003       4.4453
     259       1.3545       4.3742
     260       1.1301       4.6068
     261       1.3249       4.5935
     262       1.3463       4.4969
     263       1.4179       4.4530
     264       1.2025       4.7097
     265       1.2190       4.3999
     266       1.1739       4.2697
     267       1.1977       4.2446
     268       1.2142       4.1408
     269       1.0310       4.3756
     270       1.2393       4.6482
     271       1.2001       4.6489
     272       1.0068       4.4856
     273       1.0924       4.3891
     274       1.0171       4.5104
     275       1.1033       4.7268
     276       1.1807       4.5345
     277       1.1508       4.6898
     278       1.1115       4.7841
     279       1.1680       4.6447
     280       1.2066       4.5172
     281       1.1156       4.5764
     282       1.0569       4.8337
     283       0.9796       4.4798
     284       0.9990       4.4837
     285       1.1081       4.4500
     286       1.1261       4.5108
     287       1.3120       4.6802
     288       0.9517       4.6977
     289       1.0019       4.7363
     290       1.1260       4.8052
     291       1.1030       4.6418
     292       1.1584       4.9467
     293       1.2482       4.8648
     294       1.2423       4.5868
     295       1.2572       4.6351
     296       1.2426       4.6772
     297       1.2491       4.7282
     298       1.2482       4.6076
     299       1.1396       4.7376
     300       1.2789       4.6123
     301       1.1424       4.4846
     302       1.2450       4.6400
     303       1.1119       4.5815
     304       1.1784       4.7010
     305       1.1330       4.3173
     306       1.2513       4.6823
     307       1.2965       4.3384
     308       1.3455       4.3150
     309       1.2502       4.3004
     310       1.2879       4.5564
     311       1.1416       4.4835
     312       1.2826       4.3515
     313       1.1860       4.3591
     314       1.3033       4.3253
     315       1.2812       4.5449
     316       1.2631       4.4508
     317       1.1937       4.5348
     318       1.0501       4.7323
     319       1.1257       4.5131
     320       1.1136       4.5549
     321       1.0609       4.6988
     322       1.0299       4.7178
     323       1.0709       4.5227
     324       1.0885       4.5005
     325       1.0966       4.5105
     326       1.1881       4.4103
     327       1.0623       4.6399
     328       1.1285       4.8260
     329       1.2253       4.4165
     330       1.1445       4.7637
     331       1.3426       4.7234
     332       1.3683       4.8186
     333       1.2707       4.6890
     334       1.1963       4.8759
     335       1.2367       4.5286
     336       1.0893       5.0294
     337       1.2928       5.0306
     338       1.0465       4.9806
     339       1.3110       4.6822
     340       1.1387       4.8301
     341       1.0948       4.7541
     342       1.0868       4.6264
     343       1.2533       4.5379
     344       1.0525       4.5437
     345       1.1228       4.6876
     346       1.2345       4.4904
     347       1.4198       4.7017
     348       1.4118       4.5031
     349       1.4623       4.7248
     350       1.5336       4.7963
     351       1.8597       4.4581
     352       1.7744       4.5787
     353       1.8396       4.5301
     354       1.6992       4.3727
     355       1.7606       4.3370
     356       1.8304       4.4556
     357       1.8253       4.5241
     358       1.7606       4.4142
     359       1.6459       4.6356
     360       1.7562       4.4296
     361       1.7880       4.4883
     362       1.7559       4.4490
     363       1.7813       4.6027
     364       1.7234       4.5751
     365       1.6804       4.4197
     366       1.6496       4.2725
     367       1.6437       4.2103
     368       1.6758       4.2953
     369       1.7445       4.4215
     370       1.7799       4.4202
     371       1.6725       4.6730
     372       1.8822       4.8396
     373       1.8969       4.7074
     374       1.7427       4.7137
     375       1.7467       4.6607
     376       1.7215       4.9591
     377       1.7016       4.8890
     378       1.6631       4.7961
     379       1.6616       4.8195
     380       1.5382       4.9151
     381       1.7290       4.7922
     382       1.7019       4.6616
     383       1.6683       4.6143
     384       1.7235       4.7518
     385       1.9172       4.6377
     386       1.7286       4.7665
     387       1.7632       4.6118
     388       1.8639       4.7072
     389       1.7741       4.6456
     390       1.7806       4.5759
     391       1.7436       4.6648
     392       2.0064       4.8279
     393       1.8019       4.7566
     394       1.8861       4.5607
     395       1.7248       4.6030
     396       2.0945       4.7974
     397       1.9511       4.6359
     398       1.8744       4.7283
     399       1.9603       4.4038
     400       1.8483       4.4798
     401       1.8599       4.3347
     402       1.8101       4.5513
     403       1.8020       4.2014
     404       1.7353       4.4883
     405       1.7408       4.6590
     406       1.8440       4.5200
     407       1.8079       4.4375
     408       1.8434       4.5311
     409       1.8903       4.5214
     410       1.8613       4.5469
     411       2.1247       4.5815
     412       1.9304       4.3453
     413       1.9606       4.5930
     414       1.8951       4.3893
     415       1.8445       4.2962
     416       1.9777       4.5374
     417       1.9339       4.6987
     418       1.8701       4.8400
     419       2.0758       4.6699
     420       1.8940       4.7609
     421       1.7665       4.5182
     422       1.9112       4.6863
     423       1.8798       4.4833
     424       1.8690       4.7010
     425       1.7572       4.8053
     426       1.7240       4.2978
     427       1.8287       4.4435
     428       1.8873       4.6678
     429       1.8536       4.6433
     430       1.8066       4.3793
     431       1.7952       4.4664
     432       1.7373       4.4960
     433       1.8029       4.4770
     434       1.8019       4.5691
     435       1.7305       4.3688
     436       1.7813       4.6637
     437       1.8436       4.8599
     438       1.8600       4.8772
     439       1.8650       4.7044
     440       2.0018       4.5668
     441       1.9882       4.5083
     442       1.9223       4.7053
     443       1.9422       4.6705
     444       1.8043       4.6259
     445       1.6516       4.6346
     446       1.6590       4.8160
     447       1.9018       4.8334
     448       1.8787       4.7642
     449       1.8037       4.9491
     450       1.7912       4.9661
     451       1.8753       4.9213
     452       1.8552       4.9502
     453       1.8996       5.1684
     454       1.8823       4.7774
     455       1.7214       4.6258
     456       1.8437       4.4852
     457       1.8351       4.5270
     458       1.8973       4.4195
     459       1.8474       4.5954
     460       1.9835       4.8017
     461       1.8700       4.5738
     462       1.9016       4.7940
     463       1.8510       4.7476
     464       1.9385       4.8368
     465       1.7189       4.7518
     466       1.8782       4.5193
     467       1.9995       4.6314
     468       1.9047       4.6304
     469       1.8441       4.8250
     470       1.8060       4.8876
     471       1.8338       4.7550
     472       1.8353       4.7592
     473       1.8240       4.7361
     474       1.8039       4.6505
     475       1.8071       4.5263
     476       1.7900       4.6995
     477       1.7744       4.5769
     478       1.7975       4.6454
     479       1.6109       4.6904
     480       1.7217       4.7461
     481       1.7576       4.6343
     482       1.8612       4.6367
     483       1.8134       4.5333
     484       1.7317       4.8248
     485       1.9122       4.6805
     486       1.8706       4.7272
     487       1.7739       4.6438
     488       1.9752       4.5682
     489       2.0094       4.5227
     490       1.9992       4.6550
     491       1.9987       4.7141
     492       1.9086       4.5824
     493       1.8421       4.6654
     494       1.8763       4.5181
     495       1.8234       4.5461
     496       1.8189       4.4541
     497       1.7769       4.5864
     498       1.8035       4.6709
     499       1.9575       4.3112
     500       1.6872       4.5759
     501       1.6581       4.5818
     502       1.7379       4.6851
     503       1.7592       4.6708
     504       1.7928       4.4434
     505       1.7330       4.4607
     506       1.6179       4.4713
     507       1.7193       4.2992
     508       1.6305       4.3352
     509       1.7844       4.4218
     510       1.7846       4.2900
     511       1.9403       4.4951
     512       1.8014       4.4321
     513       1.8764       4.7309
     514       1.6755       4.5327
     515       1.7416       4.8579
     516       1.7074       4.8350
     517       1.7130       4.8120
     518       1.7678       4.7838
     519       1.7198       4.7154
     520       1.6089       4.4677
     521       1.8587       4.4785
     522       1.8112       4.4977
     523       1.8407       4.4973
     524       1.7941       4.4924
     525       1.8554       4.5997
     526       1.8072       4.6936
     527       1.8465       4.5114
     528       1.7479       4.5074
     529       1.7717       4.5722
     530       1.7187       4.6273
     531       1.7046       4.7765
     532       1.7668       4.8132
     533       1.7922       4.5834
     534       1.8226       4.6360
     535       1.8081       4.7827
     536       1.7109       4.5921
     537       1.7873       4.9244
     538       1.6105       4.9195
     539       1.7815       4.7715
     540       1.7089       4.8243
     541       1.7641       4.8037
     542       1.7738       4.5308
     543       1.8410       4.8852
     544       1.8671       4.6487
     545       1.8628       4.6938
     546       1.6771       4.6281
     547       1.5387       4.8931
     548       1.7832       4.7062
     549       1.8177       4.7503
     550       1.7672       4.5514
     551       1.7927       4.4720
     552       1.8386       4.5480
     553       1.8073       4.7349
     554       1.7976       4.6267
     555       1.8741       4.6097
     556       1.7338       4.7179
     557       1.7324       4.8135
     558       1.8214       4.5353
     559       1.7309       4.6568
     560       1.9086       4.3032
     561       1.8659       4.7384
     562       1.7043       4.3625
     563       1.7290       4.4272
     564       1.7504       4.8875
     565       1.8189       4.5268
     566       1.8568       4.6465
     567       1.8146       4.5968
     568       1.8628       4.3532
     569       1.7440       4.8374
     570       1.7593       4.6054
     571       1.9186       4.6224
     572       1.7406       4.6528
     573       1.8265       4.4162
     574       1.6958       4.3929
     575       1.7919       4.8316
     576       1.8702       4.3647
     577       1.8477       4.6912
     578       1.6692       4.3723
     579       1.8279       4.4633
     580       1.7172       4.4935
     581       1.8324       4.6883
     582       1.7911       4.6407
     583       2.0390       4.6076
     584       1.9213       4.9095
     585       1.7247       4.7422
     586       1.8860       4.8164
     587       2.0191       4.6639
     588       1.7741       4.7866
     589       1.6833       4.5020
     590       1.6831       4.6839
     591       1.7551       4.7452
     592       1.6547       4.8340
     593       1.7187       4.7695
     594       1.8098       4.6217
     595       1.8111       4.6559
     596       1.6948       4.9811
     597       1.7338       4.8456
     598       1.8564       4.7472
     599       1.7693       4.7252
     600       1.6447       4.8030
     601       1.7470       5.0551
     602       1.7028       4.7683
     603       1.7021       4.6584
     604       1.7429       4.5152
     605       1.6865       4.6790
     606       1.8417       4.7186
     607       1.7807       4.8329
     608       1.7504       4.8339
     609       1.8403       5.0394
     610       1.7975       4.8840
     611       1.8201       4.8822
     612       1.7772       4.9148
     613       1.6868       5.1884
     614       1.6024       5.1080
     615       1.7236       5.0747
     616       1.6425       5.2116
     617       1.5751       5.0558
     618       1.6537       5.0393
     619       1.8100       5.1498
     620       1.9062       4.8974
     621       1.7762       5.3461
     622       1.7439       5.2109
     623       1.9066       5.1973
     624       1.8265       5.1646
     625       1.9890       5.1417
     626       1.7883       5.1735
     627       1.7962       5.0931
     628       1.9728       4.9858
     629       1.9829       4.8952
     630       2.0020       4.4820
     631       1.7518       4.7938
     632       1.8691       4.9810
     633       2.0228       4.7956
     634       1.8146       5.0754
     635       1.7951       4.9839
     636       1.7745       5.0499
     637       1.7587       4.9258
     638       1.7472       4.9006
     639       1.7560       4.8532
     640       1.7529       4.9591
     641       1.8149       4.7939
     642       1.7691       4.6871
     643       1.8357       4.5679
     644       1.8804       4.6468
     645       1.9007       4.7681
     646       1.8158       4.7500
     647       1.7481       4.9363
     648       2.0247       4.7577
     649       1.8392       4.9504
     650       1.8936       5.1256
     651       1.9834       5.2547
     652       1.8487       4.9967
     653       1.8780       5.0472
     654       1.8395       5.0486
     655       1.9529       4.9668
     656       1.8521       5.2666
     657       1.8056       5.1261
     658       1.7972       4.9226
     659       1.7310       4.9577
     660       1.7452       4.9596
     661       1.8032       5.0025
     662       1.8263       4.8386
     663       1.7197       4.8789
     664       1.7261       4.8899
     665       1.7944       4.8476
     666       1.8266       4.7947
     667       1.8217       5.1649
     668       1.7861       4.8931
     669       1.8742       4.9648
     670       1.7581       4.9275
     671       1.8327       4.9792
     672       1.7148       4.8737
     673       1.8452       4.8204
     674       1.8070       4.9971
     675       1.8691       4.8222
     676       1.9627       4.8196
     677       1.7797       4.8705
     678       1.8577       4.8167
     679       1.7677       4.9905
     680       1.8191       5.5130
     681       1.7816       4.9349
     682       1.7004       4.9513
     683       1.6813       4.9303
     684       1.7181       5.0664
     685       1.8861       4.7822
     686       2.0677       4.9690
     687       1.8808       5.1210
     688       1.8043       4.8407
     689       1.8719       4.7109
     690       1.8366       5.1318
     691       1.8643       5.1311
     692       1.9622       4.8442
     693       1.9277       4.9450
     694       1.8078       5.0127
     695       1.9610       5.1761
     696       1.8063       4.9120
     697       1.7490       4.7212
     698       1.9135       4.6996
     699       1.8874       4.8675
     700       1.7324       4.9954
     701       1.9258       5.1361
     702       1.9051       5.0894
     703       1.8147       5.2082
     704       1.9412       5.2590
     705       1.8279       5.3617
     706       1.7660       5.4568
     707       1.7673       5.1862
     708       1.8263       5.0544
     709       1.8383       4.6813
     710       1.8229       4.9401
     711       1.7827       4.8338
     712       1.8070       5.1489
     713       1.7278       5.0878
     714       1.8209       5.1553
     715       1.6076       4.8224
     716       1.6737       4.8615
     717       1.7478       5.1955
     718       1.6786       5.0380
     719       1.6966       4.8555
     720       1.7731       4.7574
     721       1.8463       4.8061
     722       1.8395       4.7456
     723       1.7736       4.8025
     724       1.8231       4.8161
     725       1.8197       4.9866
     726       1.7231       5.1097
     727       1.6880       4.9621
     728       1.8015       4.7636
     729       1.7375       4.6519
     730       1.8855       4.8519
     731       1.8986       4.7329
     732       1.8987       4.6654
     733       1.8455       4.8960
     734       1.9027       4.5684
     735       2.0180       4.9109
     736       1.9287       4.8360
     737       1.9032       4.8538
     738       1.9773       4.9573
     739       1.8409       4.7984
     740       1.8594       4.7397
     741       1.7353       4.6771
     742       1.8350       4.6795
     743       1.8083       4.8393
     744       1.6775       4.8559
     745       1.5394       4.6826
     746       1.9474       4.7803
     747       1.8618       5.1130
     748       1.8177       5.4440
     749       1.7445       5.2288
     750       1.6790       5.2402
     751       1.8442       5.1155
     752       1.7215       4.8564
     753       1.8550       4.8551
     754       1.7746       4.9283
     755       1.7218       4.7515
     756       1.7593       4.9591
     757       1.7167       4.8506
     758       1.6594       4.8762
     759       1.8521       4.5866
     760       1.7158       4.7046
     761       1.8053       4.8884
     762       1.7723       4.7020
     763       1.8537       4.8957
     764       1.6923       4.5881
     765       1.7497       4.7344
     766       1.7858       4.4899
     767       1.7327       4.6684
     768       1.6291       5.0186
     769       1.7486       4.9378
     770       1.7531       4.8041
     771       1.7465       4.9343
     772       1.6939       4.9131
     773       1.7190       4.7023
     774       1.8647       4.5194
     775       1.7451       4.5843
     776       1.8495       4.6550
     777       1.8020       4.6579
     778       1.8193       4.7374
     779       1.8554       4.9636
     780       1.7217       4.8200
     781       1.7041       4.8413
     782       1.7143       4.7793
     783       1.6909       4.8631
     784       1.8683       4.8869
     785       1.8806       5.0628
     786       1.7577       4.7873
     787       1.7949       4.7262
     788       1.8685       4.7983
     789       1.8042       5.2361
     790       1.7733       4.9851
     791       1.8393       4.8999
     792       1.9255       4.6927
     793       1.8729       4.9236
     794       1.9364       4.9843
     795       1.9168       4.8803
     796       1.9276       4.7044
     797       1.9169       4.7071
     798       1.7561       4.4742
     799       1.9383       4.6672
     800       1.9382       4.4581
     801       1.8384       4.6805
     802       1.9580       4.6080
     803       1.8589       4.5352
     804       1.8036       4.7121
     805       1.9316       4.7982
     806       1.8591       4.8017
     807       1.9007       4.8719
     808       1.8194       4.6340
     809       1.8646       4.8472
     810       1.8214       4.9084
     811       1.8014       4.9124
     812       1.8822       4.8638
     813       1.8390       4.7747
     814       1.7692       4.7294
     815       1.7793       4.5985
     816       1.8085       4.6286
     817       1.8531       4.7117
     818       1.8531       4.6613
     819       1.8310       4.6934
     820       1.7737       4.8733
     821       1.8147       4.8789
     822       1.8499       5.1482
     823       1.9558       5.1120
     824       1.6679       5.2699
     825       1.8716       4.7796
     826       1.7293       4.5124
     827       1.9076       4.7159
     828       1.7366       4.7387
     829       1.6841       4.9549
     830       1.8706       4.5963
     831       1.8402       4.8607
     832       1.7550       4.8297
     833       1.7875       4.5448
     834       1.6811       4.8624
     835       1.7423       4.6622
     836       1.7267       4.3474
     837       1.8216       4.7603
     838       1.7284       4.5639
     839       1.8386       5.0443
     840       1.6839       5.1153
     841       1.8017       4.6515
     842       1.7130       4.6397
     843       1.6907       4.6838
     844       1.6992       4.8589
     845       1.6822       4.6272
     846       1.6860       4.6714
     847       1.8357       4.8606
     848       1.8886       4.7758
     849       1.6610       4.7789
     850       1.6813       4.7887
     851       1.7974       4.8947
     852       1.9507       4.8174
