#Frame        Nb65bp2        Trop2
     245       1.3663       3.6771
     246       1.2061       4.0202
     247       1.3149       3.8471
     248       1.1474       3.7144
     249       1.1208       3.5556
     250       1.2873       3.9314
     251       1.1881       3.9446
     252       1.2539       3.9876
     253       1.1133       4.0949
     254       1.2380       3.7643
     255       1.1839       3.4792
     256       1.2039       3.5278
     257       1.1694       3.5441
     258       1.2433       3.2269
     259       1.1501       3.5253
     260       1.2080       3.6181
     261       1.2120       3.4486
     262       1.3330       3.6670
     263       1.3115       3.4783
     264       1.3118       3.7706
     265       1.2285       3.6669
     266       1.2871       3.6203
     267       1.2223       3.9774
     268       1.2618       4.2106
     269       1.1665       3.6967
     270       1.2740       3.9633
     271       1.1507       3.8843
     272       1.2715       4.1699
     273       1.2109       3.6417
     274       1.2747       3.5866
     275       1.1461       3.6448
     276       1.2542       3.6307
     277       1.2872       3.5610
     278       1.2481       3.5851
     279       1.2481       3.7288
     280       1.2221       3.4579
     281       1.1989       3.3529
     282       1.1461       3.3638
     283       1.2504       3.3933
     284       1.1250       3.4032
     285       1.2029       3.3151
     286       1.1602       2.9860
     287       1.1840       3.1224
     288       1.0786       3.2875
     289       1.0754       3.1064
     290       1.2322       3.0732
     291       1.1986       3.2654
     292       1.2613       3.1217
     293       1.3021       3.4281
     294       1.2415       3.2932
     295       1.2478       3.2578
     296       1.2203       3.3518
     297       1.2048       3.5483
     298       1.2831       3.3701
     299       1.1289       3.4480
     300       1.1522       3.3583
     301       1.2525       3.4662
     302       1.4419       3.2411
     303       1.3000       2.9727
     304       1.1394       3.2419
     305       1.1560       3.1545
     306       1.1125       3.2498
     307       1.1364       3.0906
     308       1.2291       3.1947
     309       1.1618       3.1212
     310       1.2484       3.5522
     311       1.1689       3.3471
     312       1.2041       3.4156
     313       1.1280       3.0929
     314       1.1034       2.9814
     315       1.1965       3.0615
     316       1.2356       3.1657
     317       1.1910       3.4325
     318       1.2323       3.3857
     319       1.2140       3.1307
     320       1.2013       3.0840
     321       1.3090       3.4506
     322       1.3051       3.5104
     323       1.2908       3.2902
     324       1.3273       3.7324
     325       1.3849       4.0694
     326       1.2451       3.7071
     327       1.2994       3.6677
     328       1.4080       3.5332
     329       1.2336       3.2694
     330       1.1852       3.1695
     331       1.2965       3.2486
     332       1.2396       3.1916
     333       1.2834       3.4106
     334       1.2970       3.3049
     335       1.3244       3.4495
     336       1.2197       3.4607
     337       1.3760       3.4435
     338       1.3535       3.2585
     339       1.3035       3.1156
