#Frame          Trop2     Nanobody
     245       4.6430       1.3482
     246       4.7048       1.4251
     247       4.8683       1.2404
     248       4.7360       1.2452
     249       4.8148       1.3589
     250       4.7083       1.6441
     251       4.8028       1.4458
     252       4.6315       1.3069
     253       4.6176       1.4993
     254       4.8664       1.3960
     255       4.5216       1.3521
     256       4.7832       1.5415
     257       4.6857       1.5590
     258       4.6375       1.4438
     259       4.5126       1.4278
     260       4.5956       1.3050
     261       4.3984       1.4749
     262       4.4068       1.5946
     263       4.7481       1.7292
     264       4.6418       1.6516
     265       4.8391       1.3587
     266       4.6849       1.4278
     267       4.4276       1.5089
     268       4.3267       1.7081
     269       4.3758       1.5520
     270       4.5461       1.6449
     271       4.5193       1.7448
     272       4.3781       1.5252
     273       4.7433       1.6468
     274       4.5400       1.5495
     275       4.6004       1.5765
     276       4.5229       1.6509
     277       4.4111       1.4605
     278       4.4596       1.4336
     279       4.4078       1.5781
     280       4.5554       1.4309
     281       4.4921       1.6024
     282       4.4111       1.7547
     283       4.2853       1.8211
     284       4.5269       1.9176
     285       4.4869       1.8405
     286       4.5378       1.7453
     287       4.5253       1.7592
     288       4.4802       1.9082
     289       4.5676       1.8071
     290       4.6963       1.9818
     291       4.4688       1.9227
     292       4.6301       1.6794
     293       4.7052       1.5528
     294       4.5531       1.7795
     295       4.5708       1.5786
     296       4.7550       1.4402
     297       4.6889       1.5006
     298       4.6734       1.5310
     299       4.4330       1.4525
     300       4.5274       1.5967
     301       4.3932       1.5596
     302       4.5704       1.7818
     303       4.5442       1.6229
     304       4.5932       1.5615
     305       4.4283       1.3174
     306       4.6434       1.6183
     307       4.5382       1.6979
     308       4.4463       1.4111
     309       4.3938       1.4957
     310       4.1009       1.7027
     311       4.3814       1.6504
     312       4.6071       1.6701
     313       4.5421       1.5879
     314       4.2328       1.4967
     315       4.2893       1.5359
     316       4.4343       1.5533
     317       4.3278       1.5529
     318       4.3587       1.5734
     319       4.2218       1.6389
     320       4.3033       1.5547
     321       4.0419       1.5705
     322       4.0287       1.5619
     323       4.1683       1.5536
     324       4.4843       1.4839
     325       4.3196       1.5292
     326       4.4224       1.5871
     327       4.6100       1.6306
     328       4.5708       1.4632
     329       4.8538       1.5089
     330       4.7550       1.4312
     331       4.7148       1.4326
     332       4.5963       1.7198
     333       4.6301       1.6304
     334       4.7348       1.4052
     335       4.7557       1.4870
     336       4.7594       1.5699
     337       4.8636       1.4167
     338       4.9763       1.1485
     339       4.9251       1.2894
     340       4.9330       1.4007
     341       4.7447       1.5310
     342       4.7281       1.4958
     343       4.6063       1.3785
     344       4.8876       1.3774
     345       4.5930       1.5456
     346       4.5942       1.6501
     347       4.4402       1.6918
     348       4.3714       1.6021
     349       4.5911       1.7359
     350       4.3956       1.7606
     351       4.3789       1.7219
     352       4.1626       1.5995
     353       4.3186       1.6042
     354       4.1996       1.6712
     355       4.5379       1.3506
     356       4.4261       1.2997
     357       4.5281       1.3558
     358       4.4360       1.2447
     359       4.5189       1.3866
     360       4.2762       1.2896
     361       4.0056       1.2494
     362       4.3615       1.5309
     363       4.3155       1.4435
     364       4.2329       1.4227
     365       4.1963       1.4103
     366       4.1601       1.3405
     367       4.3468       1.2201
     368       4.0014       1.5074
     369       4.0393       1.2978
     370       3.9319       1.2866
     371       3.7859       1.3767
     372       3.9034       1.4081
     373       3.8437       1.4352
     374       3.9271       1.2922
     375       3.9312       1.3813
     376       4.0958       1.4076
     377       4.0681       1.4062
     378       3.8367       1.5338
     379       3.9270       1.3863
     380       4.0031       1.5289
     381       3.9803       1.7453
     382       4.1732       1.5756
     383       4.0737       1.5274
     384       3.9130       1.5289
     385       3.9598       1.4548
     386       3.8277       1.4004
     387       3.8831       1.4691
     388       3.7817       1.5062
     389       3.7505       1.4508
     390       4.0671       1.4945
     391       4.0352       1.7354
     392       4.2139       1.5554
     393       4.0402       1.5721
     394       4.2181       1.6675
     395       4.1352       1.7568
     396       4.0413       1.5689
     397       4.1987       1.6790
     398       4.2180       1.4784
     399       4.2499       1.5441
     400       4.0714       1.6126
     401       3.9877       1.6208
     402       3.9449       1.6038
     403       3.9248       1.4742
     404       4.1586       1.7027
     405       3.9843       1.7351
     406       3.9893       1.7592
     407       4.0623       1.6739
     408       4.2288       1.6046
     409       4.2499       1.6716
     410       4.1358       1.7536
     411       4.0961       1.6567
     412       4.1152       1.9723
     413       4.0712       1.8392
     414       4.2018       2.0436
     415       3.9761       1.8465
     416       4.0722       1.7294
     417       4.3890       1.7855
     418       4.3299       1.7365
     419       4.4319       1.6978
     420       4.2019       1.6590
     421       4.4764       1.4591
     422       4.5798       1.6559
     423       4.5008       1.3338
     424       4.3410       1.4739
     425       4.4631       1.5635
     426       4.3309       1.5648
     427       4.3231       1.7002
     428       4.4216       1.7218
     429       4.5771       1.8505
     430       4.4965       1.6300
     431       4.6198       1.8209
     432       4.4865       1.8702
     433       4.4053       1.7321
     434       4.5200       1.5209
     435       4.5897       1.8688
     436       4.3311       1.6936
     437       4.4530       1.8228
     438       4.4062       2.0009
     439       4.3089       1.8703
     440       4.2407       1.8059
     441       4.2654       1.7239
     442       4.3238       1.6697
     443       4.3501       1.8446
     444       4.3422       1.5389
     445       4.3790       1.5922
     446       4.1662       1.7673
     447       4.2647       1.7830
     448       4.2646       1.6344
     449       4.1909       1.6840
     450       4.4298       1.7650
     451       4.3300       1.8098
     452       4.4585       1.7464
     453       4.4275       1.5208
     454       4.4242       1.6112
     455       4.3711       1.6630
     456       4.6245       1.6163
     457       4.1536       1.5924
     458       4.2833       1.6577
     459       4.1385       1.6339
     460       4.2781       1.5163
     461       4.5272       1.4840
     462       4.2451       1.5210
     463       4.2850       1.5370
     464       4.1573       1.3214
     465       4.3480       1.4878
     466       4.5244       1.6123
     467       4.2092       1.6482
     468       4.2620       1.4971
     469       4.6661       1.6072
     470       4.4266       1.5901
     471       4.3305       1.4441
     472       4.5120       1.6028
     473       4.5266       1.4467
     474       4.4015       1.7137
     475       4.2360       1.7443
     476       4.1255       1.5421
     477       4.3207       1.6296
     478       4.2921       1.8279
     479       4.4497       1.6305
     480       4.4118       1.6157
     481       4.2642       1.8451
     482       4.1878       1.7117
     483       4.2935       1.8621
     484       4.5156       1.7821
     485       4.4002       1.7897
     486       4.3234       1.8167
     487       4.3156       1.7445
     488       4.4177       1.6820
     489       4.1693       1.8575
     490       4.1143       1.7883
     491       4.4040       1.8446
     492       4.1177       1.7002
     493       4.3603       1.6221
     494       4.3151       1.6296
     495       4.2686       1.7060
     496       4.3912       1.4813
     497       4.2808       1.5823
     498       4.3415       1.7143
     499       4.3409       1.6136
     500       4.2896       1.6449
     501       4.3846       1.7962
     502       4.2575       1.7322
     503       4.3875       1.5996
     504       4.4673       1.7851
     505       4.3226       1.5668
     506       4.2567       1.5798
     507       4.2831       1.8805
     508       4.2871       1.5967
     509       4.2123       1.6473
     510       4.3191       1.5219
     511       4.2469       1.6262
     512       4.4011       1.5958
     513       4.4572       1.8560
     514       4.4818       1.6319
     515       4.3645       1.5389
     516       4.4438       1.5677
     517       4.5983       1.7070
     518       4.5075       1.6102
     519       4.3034       1.6781
     520       4.3184       1.7994
     521       4.3518       1.4195
     522       4.4483       1.5050
     523       4.3139       1.5639
     524       4.2354       1.7352
     525       4.2246       1.7339
     526       4.2739       1.6999
     527       4.2071       1.9955
     528       4.4100       1.8161
     529       4.3689       1.7372
     530       4.1540       1.6548
     531       4.5032       1.8176
     532       4.1971       1.6381
     533       4.3742       1.8570
     534       4.3361       1.9041
     535       4.3384       1.5157
     536       4.3471       1.4824
     537       4.2420       1.5914
     538       4.2420       1.4974
     539       4.5827       1.4805
     540       4.4351       1.5927
     541       4.5850       1.4922
     542       4.3906       1.4954
     543       4.4275       1.5666
     544       4.2224       1.5839
     545       4.3693       1.5624
     546       4.2989       1.6573
     547       4.1509       1.6841
     548       4.1965       1.6706
     549       4.4337       1.5770
     550       4.2402       1.6575
     551       4.2537       1.4407
     552       4.4458       1.3034
     553       4.3491       1.4407
     554       4.4771       1.4095
     555       4.5078       1.2630
     556       4.3171       1.3496
     557       4.3737       1.3232
     558       4.3154       1.4989
     559       4.3937       1.5188
     560       4.3828       1.4567
     561       4.2870       1.6077
     562       4.1503       1.7129
     563       4.3605       1.6704
     564       4.1312       1.8406
     565       4.3686       1.4723
     566       4.3884       1.6134
     567       4.3282       1.6675
     568       4.4240       1.3995
     569       4.1972       1.3943
     570       4.2427       1.5072
     571       4.2199       1.5428
     572       4.4122       1.4309
     573       4.3259       1.4162
     574       4.2826       1.5611
     575       4.1750       1.5644
     576       4.3139       1.3988
     577       4.1441       1.4761
     578       4.2649       1.5113
     579       4.1976       1.4039
     580       4.3495       1.4556
     581       4.5249       1.4339
     582       4.4844       1.4669
     583       4.3910       1.4119
     584       4.4000       1.3088
     585       4.3879       1.5438
     586       4.2732       1.4289
     587       4.3167       1.5439
     588       4.3429       1.5404
     589       4.2047       1.3259
     590       4.4503       1.3921
     591       4.0354       1.4953
     592       4.1760       1.5535
     593       4.2391       1.3506
     594       4.2975       1.4965
     595       4.2121       1.6816
     596       4.2063       1.4526
     597       4.2053       1.4697
     598       4.3478       1.3965
     599       4.3225       1.4273
     600       4.1525       1.7001
     601       4.1373       1.5225
     602       4.2273       1.6400
     603       4.0991       1.4163
     604       4.1697       1.4965
     605       4.1619       1.6851
     606       4.2725       1.4606
     607       4.2708       1.6771
     608       4.2839       1.6700
     609       4.5183       1.8919
     610       4.2371       1.6218
     611       4.3283       1.5617
     612       4.4474       1.6204
     613       4.5874       1.6270
     614       4.3885       1.4474
     615       4.5505       1.5151
     616       4.5291       1.3860
     617       4.4287       1.4815
     618       4.4612       1.5588
     619       4.2492       1.5162
     620       4.2986       1.6862
     621       4.2363       1.6517
     622       4.3707       1.4486
     623       4.2786       1.6315
     624       4.2925       1.5635
     625       4.3126       1.8649
     626       4.3758       1.6469
     627       4.4373       1.7077
     628       4.4021       1.7659
     629       4.4715       1.6548
     630       4.2657       1.6296
     631       4.3778       1.5424
     632       4.2313       1.6104
     633       4.2730       1.9353
     634       4.2715       1.9010
     635       4.3503       1.7509
     636       4.3360       1.6364
     637       4.3725       1.8653
     638       4.1074       1.8493
     639       4.3113       1.7529
     640       4.2153       1.6950
     641       4.3863       1.6250
     642       4.4008       1.7892
     643       4.5468       1.7461
     644       4.4871       1.8000
     645       4.4321       1.9204
     646       4.2026       1.8614
     647       4.2186       1.7714
     648       4.2971       1.9651
     649       4.1403       1.7940
     650       4.2444       1.7166
     651       4.3167       1.7812
     652       4.5618       1.8301
     653       4.6427       1.8320
     654       4.4786       1.7874
     655       4.3462       1.8315
     656       4.3335       1.9591
     657       4.5012       1.7379
     658       4.4430       1.7858
     659       4.3466       1.9013
     660       4.3567       1.7783
     661       4.3245       1.8235
     662       4.4830       1.8553
     663       4.2851       1.8254
     664       4.3188       1.6583
     665       4.4649       1.9172
     666       4.2220       1.8130
     667       4.3215       1.9821
     668       4.3845       1.9773
     669       4.4560       1.7715
     670       4.4066       1.9255
     671       4.4803       1.9427
     672       4.3747       1.7986
     673       4.3082       2.0064
     674       4.4989       1.7205
     675       4.4421       1.8084
     676       4.3563       2.1270
     677       4.3789       1.9258
     678       4.3487       2.0900
     679       4.2798       1.8589
     680       4.4292       2.0340
     681       4.3863       1.8400
     682       4.3083       2.0293
     683       4.4857       1.6847
     684       4.3812       2.0474
     685       4.2903       1.8029
     686       4.3326       1.9081
     687       4.4507       1.9135
     688       4.3935       2.0181
     689       4.5789       1.7686
     690       4.4370       2.0398
     691       4.4331       1.8462
     692       4.3915       1.9478
     693       4.2749       1.7670
     694       4.4152       1.8691
     695       4.1901       1.6633
     696       4.4102       1.6895
     697       4.3684       1.7915
     698       4.4268       1.8879
     699       4.5681       1.7583
     700       4.4316       1.7902
     701       4.3498       1.7929
     702       4.3308       1.8372
     703       4.1313       1.7810
     704       4.2365       1.8859
     705       4.1660       1.8696
     706       4.0650       1.9174
     707       4.2648       1.8439
     708       4.3288       1.6807
     709       4.3319       1.7310
     710       4.2570       1.6774
     711       4.1711       1.6456
     712       4.3782       1.8218
     713       4.2636       1.7875
     714       4.2173       1.8179
     715       4.4096       1.7684
     716       4.3231       1.6323
     717       4.2034       1.8772
     718       4.2486       2.0162
     719       4.3744       2.0347
     720       4.4864       1.8660
     721       4.3708       2.0494
     722       4.3732       2.1902
     723       4.4688       2.1197
     724       4.2035       1.8268
     725       4.3437       1.9074
     726       4.2688       2.1826
     727       4.3465       2.1236
     728       4.1186       2.0499
     729       4.1988       1.9751
     730       4.1626       1.9714
     731       4.1416       2.0112
     732       4.2602       2.1413
     733       4.1453       1.9499
     734       4.2567       2.1824
     735       4.1984       2.2837
     736       4.0195       2.3394
     737       4.0982       2.1206
     738       3.9825       2.0172
     739       4.0305       2.1208
     740       3.9191       2.1786
     741       4.0724       2.1669
     742       4.2004       2.0680
     743       4.0256       1.9550
     744       4.2579       1.9299
     745       4.3034       2.0529
     746       3.9557       2.2342
     747       4.0353       2.2343
     748       4.0480       1.9111
     749       4.1330       2.1326
     750       4.3246       2.0122
     751       4.0848       2.0096
     752       4.3371       2.1978
     753       4.3477       2.1768
     754       4.2872       2.0745
     755       4.2054       2.0472
     756       4.2711       2.0739
     757       4.3499       2.0586
     758       4.4488       2.0735
     759       4.3614       2.1141
     760       4.5106       2.1805
     761       4.4704       1.9850
     762       4.4790       1.9641
     763       4.3200       1.8018
     764       4.3387       1.8166
     765       4.4744       2.0284
     766       4.3201       1.8587
     767       4.3583       2.1006
     768       4.3180       1.9290
     769       4.1095       2.0527
     770       4.2706       1.9601
     771       4.2157       2.0271
     772       4.2813       2.0299
     773       4.4984       1.9485
     774       4.3858       2.0048
     775       4.3275       1.9223
     776       4.4310       1.8680
     777       4.3184       1.9180
     778       4.2695       2.1850
     779       4.2370       2.2744
     780       4.2551       2.0245
     781       4.2887       1.8596
     782       4.3436       1.8844
     783       4.3688       2.2031
     784       4.4678       1.9763
     785       4.4339       2.0969
     786       4.3898       2.1453
     787       4.5748       2.2382
     788       4.5488       2.0668
