#Frame          Trop2     Nanobody
       1       2.8685       1.6981
       2       3.0657       1.9146
       3       2.8975       1.9970
       4       2.4086       1.7400
       5       2.2432       1.6212
       6       2.2977       1.7996
       7       2.4155       1.5536
       8       2.3190       1.7717
       9       2.3212       1.8919
      10       2.1952       1.8512
      11       2.1753       1.9026
      12       2.3918       2.0093
      13       2.5766       1.8161
      14       2.8975       2.0661
      15       2.8360       1.9927
      16       2.6627       2.0333
      17       2.4294       1.9357
      18       2.4423       2.0555
      19       2.5546       2.1020
      20       2.3111       1.9910
      21       2.3922       1.9114
      22       2.3075       1.8576
      23       2.3194       1.8603
      24       2.6391       2.2212
      25       2.6009       2.1243
      26       2.2991       1.8951
      27       2.3899       1.8344
      28       2.4416       1.8899
      29       2.6398       2.1330
      30       2.4370       2.3281
      31       2.3689       1.9511
      32       2.4729       2.0018
      33       2.5033       1.9656
      34       2.4897       1.9837
      35       2.3844       1.9684
      36       2.3015       2.0733
      37       2.4737       2.1746
      38       2.4268       2.2212
      39       2.2047       2.3131
      40       2.2438       2.1561
      41       2.6426       2.2246
      42       2.6222       1.9752
      43       2.3676       2.0363
      44       2.4583       2.1412
      45       2.6911       2.1731
      46       2.7586       2.2837
      47       2.9028       2.2771
      48       2.6635       2.0939
      49       2.9723       2.0417
      50       2.9272       1.8982
      51       3.0845       2.0049
      52       3.0112       2.2927
      53       2.9677       2.2932
      54       2.9171       2.2953
      55       2.8080       2.2168
      56       2.9444       2.1040
      57       3.0629       2.3284
      58       3.0431       1.9430
      59       2.8844       2.2255
      60       2.7965       2.1633
      61       2.5490       2.0159
      62       2.7570       1.9801
      63       2.7193       1.9395
      64       2.6711       2.3052
      65       2.5624       2.2003
      66       2.7138       2.1933
      67       2.9332       2.1231
      68       2.6900       2.1541
      69       2.6723       2.4340
      70       2.8761       2.2714
      71       2.7233       2.1356
      72       2.8886       2.1238
      73       2.5248       2.2305
      74       2.5475       2.4038
      75       2.4841       2.1784
      76       2.4639       2.0425
      77       2.5039       2.0906
      78       2.5344       2.1702
      79       2.7239       2.3410
      80       2.7109       2.0858
      81       2.5064       2.0840
      82       2.5962       1.8424
      83       2.4992       1.8637
      84       2.8004       1.9732
      85       2.5283       1.8922
      86       2.6166       1.6944
      87       2.7437       1.8873
      88       2.9578       1.6347
      89       3.0432       2.1331
      90       2.7286       1.8437
      91       2.6287       1.5902
      92       2.9430       1.4941
      93       2.9442       1.6626
      94       3.0822       2.1290
      95       3.0436       1.8754
      96       2.9306       1.8825
      97       2.8395       2.0013
      98       2.8608       1.9897
      99       2.5216       1.9696
     100       2.6606       1.6411
     101       2.6417       1.8367
     102       2.5229       1.9958
     103       2.7889       1.8153
     104       2.8343       2.1620
     105       2.6831       2.1222
     106       2.7058       1.9213
     107       2.8385       1.9719
     108       2.7545       1.8992
     109       2.6191       2.3432
     110       2.8606       2.0757
     111       2.8628       2.3196
     112       3.0253       2.1521
     113       3.0171       2.4135
     114       3.0936       2.3610
     115       2.6457       2.3844
     116       2.9028       2.3419
     117       2.5232       2.3371
     118       2.7089       2.1994
     119       2.9819       2.1297
     120       2.7624       2.2091
     121       2.7411       1.9510
     122       3.0431       2.0140
     123       2.9288       2.1398
     124       2.7423       2.0376
     125       2.8763       1.9135
     126       2.8713       1.9891
     127       2.9125       1.9188
     128       2.7984       1.5812
     129       2.8889       2.0524
     130       3.0216       1.9343
     131       2.9187       1.8954
     132       2.9490       1.9161
     133       3.1272       1.8700
     134       2.9480       1.9203
     135       2.9932       1.9666
     136       3.0441       1.9561
     137       3.1714       2.0715
     138       2.8536       1.7121
     139       3.1837       1.7183
     140       2.9692       1.8141
     141       2.7231       1.6361
     142       2.8283       1.9543
     143       2.6463       2.0828
     144       2.7611       1.7724
     145       2.8335       1.8317
     146       2.9166       1.8149
     147       3.1106       1.8966
     148       2.9317       1.9166
     149       2.8299       1.9051
     150       2.5377       1.9799
     151       2.5899       2.2637
     152       2.5036       2.0377
     153       2.4894       2.0134
     154       2.5865       1.9039
     155       2.6147       2.1381
     156       2.7828       2.2171
     157       2.6711       2.4436
     158       2.6546       2.0245
     159       2.9123       2.1617
     160       3.0782       1.8317
     161       2.8249       1.7672
     162       2.9908       1.7361
     163       2.9704       1.6049
     164       3.1654       1.6149
     165       3.2283       1.7999
     166       3.4036       1.9416
     167       2.9923       1.7326
     168       2.9837       1.6148
     169       3.0173       1.7051
     170       3.1318       1.7225
     171       3.0918       1.5875
     172       3.6152       1.7600
     173       3.7465       1.8407
     174       3.3222       1.7981
     175       3.0274       2.1799
